Name,Price,Descriptions
Платье-миди из вискозы ELIS,"
                7 999 ₽            ","Изящное платье-миди в бело-голубой гамме с авторским цветочным принтом и удлиненным сзади подолом. Выполнено из летящего вискозного полотна, натуральный дышащий материал приятен к коже и лёгок в уходе. Модель А-силуэта с неглубоким V-образным вырезом горловины и свободными рукавами-крылышками. Под грудью тесьма из основного материала, создающая нежный женственный силуэт. Элегантный образ можно завершить открытыми босоножками или мюлями на каблуке."
Платье-туника из хлопка ELIS,"
                7 999 ₽            ","Легкое платье-туника белого цвета. Выполнено из невесомого 100% хлопка с вышивкой. Модель А-силута, со свободными рукавами, присобранными у манжета, притачным нижним ярусом с легкими драпировками, круглой горловиной с разрезом и кулиской с кисточками. В комплекте идёт нижнее платье на бретелях. С открытыми босоножками составят актуальный городской лук, с пляжной обувью образ для отпуска."
Платье изо льна без рукавов ELIS,"
                7 999 ₽            ","Лаконичное платье-миди из натурального льна насыщенного розового цвета. Эффектная минималистичная модель с оригинальным вырезом в верхней части спины и разрезами по бокам, за счет которых силуэт выглядит летящим. Застегивается на потайную молнию сбоку. Средняя длина выгодно подчеркивает ноги, платье выглядит максимально эффектно в сочетании с обувью на шпильке и легким светлым пиджаком."
Платье изо льна без рукавов ELIS,"
                7 999 ₽            ","Лаконичное платье-миди из натурального льна нежно-зелёного оттенка. Эффектная минималистичная модель с оригинальным вырезом в верхней части спины и разрезами по бокам, за счет которых силуэт выглядит летящим. Застегивается на потайную молнию сбоку. Средняя длина выгодно подчеркивает ноги, платье выглядит максимально эффектно в сочетании с обувью на шпильке и легким светлым пиджаком."
Платье-миди без рукавов ELIS,"
                6 999 ₽            ","Изящное платье без рукавов василькового оттенка выполнено из невесомого летящего материала. Мягкая дышащая вискоза приятна к телу, а прочные нейлоновые волокна не позволят ткани деформироваться со временем. Модель А-силуэта, с V-образным вырезом горловины, небольшими сборками на плечах и подолом с притачным ярусом с лёгкими воланами. Аккуратный ремень выгодно подчёркивает талию и формирует нежные драпировки. Образ можно дополнить актуальными открытыми босоножками или классическими лодочками."
Топ с ярким принтом ELIS,"
                3 999 ₽            ","Лёгкий топ с дизайнерским геометрическим принтом в бруснично-красной гамме. Выполнен из невесомого материала на основе вискозы и купры — искусственной ткани, похожей на шёлк, из натурального сырья — древесины и хлопка. Модель прямого силуэта, с эффектными разрезами по бокам, вытачками, круглой окантованной горловиной и проймами, и застёжкой на пуговицу сзади. С брюками-палаццо из того же материала составит однотонный тотал-лук для городских прогулок или выхода в свет."
Свободные брюки с ярким принтом ELIS,"
                7 499 ₽            ","Широкие брюки с дизайнерским геометрическим принтом в бруснично-красной гамме. Выполнены из невесомого материала на основе вискозы и купры — искусственной ткани, похожей на шёлк, из натурального сырья — древесины и хлопка. Модель прямого силуэта, с французскими карманами и комфортным притачным поясом с резинкой, обеспечивающим удобную посадку. С топом из той же ткани составят однотонный тотал-лук для городских прогулок или выхода в свет."
Легкая куртка изо льна ELIS,"
                9 999 ₽            ","Комфортная куртка фирменного оттенка оптический белый выполнена из натурального льна премиального качества. Лёгкий материал с неповторимой текстурой приятен к коже и не препятствует циркуляции воздуха. Модель прямого силуэта, увеличенного объёма, с рукавом-реглан, центральной застёжкой на тесьму-молнию и крупными накладными карманами. Без подкладки. Завершает дизайн удобный капюшон с кулиской. Лёгкая куртка станет базой повседневного гардероба."
Футболка вязаная с V-вырезом ELIS,"
                3 999 ₽            ","Футболка прямого свободного кроя из вязаного трикотажа на основе экологичной вискозы и льна в лаконичном пастельно-голубом оттенке. Модель в V-образной горловиной, втачными короткими рукавами, свободно облегающими руку. Рукава и горловина отделаны манжетами. Крой позволяет носить футболку заправленной и навыпуск. Модель сочетается с шортами, брюками и обувью в спортивном стиле. Must have для путешествий и отпуска."
Шорты льняные ELIS,"
                5 999 ₽            ","Стильные шорты из натурального мягкого льна универсального белого цвета. Модель комфортного среднего облегания, прямого кроя, с поясом на резинке с кулиской для регулирования объема талии. По бокам функциональные прорезные карманы. Модель сочетать с футболками, легкими жакетами светлых оттенков и обувью в спортивном стиле. Must have для гардероба в отпуск."
Платье-комбинация ELIS,"
                6 999 ₽            ","Изящное струящееся платье-комбинация сдержанного коричневого цвета выполнено из лёгкого гладкого материала. Модель прямого силуэта, на тонких бретелях, с V-вырезом и нагрудными вытачками, обеспечивающими комфортную посадку. Образ можно дополнить открытыми босоножками или мюлями на каблуке."
Платье-комбинация ELIS,"
                6 999 ₽            ","Cтруящееся платье актуального горчичного оттенка выполнено из лёгкого гладкого материала на основе вискозы. Модель прямого силуэта, на тонких изящных бретелях, с глубоким округлым вырезом и нагрудными вытачками, обеспечивающими комфортную посадку. Женственный образ можно дополнить открытыми босоножками или мюлями на каблуке."
Футболка из вискозы ELIS,"
                2 999 ₽            ","Повседневная футболка оттенка экрю с авторским принтом на груди. Выполнена из мягкой дышащей вискозы премиального качества, волокна эластана в составе отвечает за комфортную посадку по фигуре. Модель прямого силуэта, с цельнокроеным коротким рукавом и круглым вырезом горловины. Универсальная футболка в стиле кэжуал дополнит городской образ любой сложности. Легко сочетать с брюками, джинсами или юбками."
Платье с цветочным принтом ELIS,"
                8 999 ₽            ","Длинное платье из лёгкой экологичной вискозы с мелким цветочным принтом. Модель имеет прямой крой с расклешенным низом, V-образную горловину, присборенный у плеча лиф и изящные рукава-фонарики."
Платье с цветочным принтом ELIS,"
                8 999 ₽            ","Длинное платье из лёгкой экологичной вискозы EcoVero с мелким цветочным принтом. Модель имеет приталенный за счёт резинок силуэт с расклешенным низом, V-образную горловину, застёжку спереди на пуговицы, обтянутые тканью, присборенный у плеча лиф, изящные рукава-фонарики и эффектный разрез спереди."
Льняной жакет ELIS,"
                11 999 ₽            ","Элегантный жакет из мягкого смесового материала на основе натуральных тканей хлопка и льна. Лен придает вещи характерную фактуру, а хлопок- мягкость и плотность. Приталенная однобортная модель на трех пуговицах, с прямоугольными лацканами, изящным V-образным вырезом горловины, длинными рукавами и двумя накладными карманами, придающими изделию особый стиль.
Модель дополнена узким черным ремешком, который позволяет создавать приталенный силуэт. Сочетается с брюками в тон из той же капсулы, а также однотонными футболками и рубашками."
